brand; product_name; shipping
PowerColor;PowerColor Hellhound Spectral White AMD Radeon RX 6700 XT Gaming Graphics Card with 12GB GDDR6 Memory| Powered by AMD RDNA 2| HDMI 2.1 (AXRX 6700XT 12GBD6-3DHLV2);Free Shipping
XFX;XFX SPEEDSTER QICK319 AMD Radeon RX 6700 XT BLACK Gaming Graphics Card with 12GB GDDR6| HDMI 3 x DP| AMD RDNA 2;Free Shipping
ASRock;ASRock Challenger D Radeon RX 6700 XT 12GB GDDR6 PCI Express 4.0 x16 Video Card RX6700XT CLD 12GO;$9.99 Shipping
GIGABYTE;GIGABYTE Radeon RX 6800 XT GAMING OC 16G Graphics Card| WINDFORCE 3X Cooling System| 16GB 256-bit GDDR6| GV-R68XTGAMING OC-16GD Video Card| Powered by AMD RDNA 2| HDMI 2.1;Free Shipping
ASRock;ASRock Radeon RX 6900 XT PHANTOM GAMING D Graphics Card 16GB GDDR6| AMD RDNA2 (RX6900XT PGD 16GO);Free Shipping
GIGABYTE;GIGABYTE Geforce RTX 2060 OC Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N2060OC-6GD Video Card;$40.00 Shipping
Sapphire Tech;Sapphire Nitro+ AMD Radeon RX 6700 XT Gaming OC Video Card| 12GB GDDR6 HDMI / Triple DP (11306-01-20T);Free Shipping
Sapphire Tech;Sapphire TOXIC AMD RADEON RX 6900 XT GAMING OC Video Card| 16GB GDDR6 EXTREME EDITION HDMI / TRIPLE DP;$9.99 Shipping
PowerColor;PowerColor Red Devil AMD Radeon RX 6800 XT Gaming Graphics Card with 16GB GDDR6 Memory| Powered by AMD RDNA 2| HDMI 2.1 (AXRX 6800XT 16GBD6-3DHE/OC);Free Shipping
ASUS;ASUS Dual GeForce RTX 2060 Advanced OC EVO Graphics Card 6GB 192-Bit GDDR6 PCIe 3.0 x16 DirectX 12 HDCP Ready Auto-Extreme Technology 1x DVI-D 2X HDMI 2.0b 1x DisplayPort 1.4|(DUAL-RTX2060-O6G-EVO);$79.99 Shipping
Sapphire Tech;SAPPHIRE NITRO+ Radeon RX 6800 XT SE Gaming Graphics Card with 16GB GDDR6| AMD RDNA 2 (11304-01-20G);Free Shipping
